"ASIN","title","content","date","variant","images","verified","author","rating","product","url"

"B00N771OEE","so I turned to more inexpensive alternatives trying a pair here and there to find what ones I like that also give me rather decent quality","I bought these along with the (Betron YSM1000 Headphones) Seeing how my headphones have been chewed up by 4 dogs at home, or get stolen by staff or siblings.. Or simply lost on my part, I go through headphones lately rather quickly, so I turned to more inexpensive alternatives trying a pair here and there to find what ones I like that also give me rather decent quality, especially with the Bass... And I must say out of the 10 different pairs I've gone through over the last 2-3 months.. These are definitely what caught me off guard. I love em, even better than the other pair I got from Betron, Packaging was simple but sweet. But the sealing effect of the large pieces on this fit like a glove in my ear, really closing any gaps and keeping it locked in my ear. And the bass was what really set me, I spent recently $35+ on a pair of headphones that clamed to have some serious base but when I rocked those for a couple of weeks I realized it didn't have any to show for, but the moment I unboxed these after trying the other pair by these guys, this set really shocked me especially for the price.. Needless to say I've stuck with these for the last week or so and am loving it. Use it at work, and at home. Still preforming like a charm.","26 Jan 2018","Color: Black","","Yes","Jordon","5.0","Betron DC950HI Earphone with Mic and Remote Control, Powerful Bass, Noise Isolating, Replaceable Earbuds, Portable Headphones, Compatible with iPhone, iPad, MP3 Players, Android Devices, Black","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Microphone/product-reviews/B00N771OEE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"

"B00N771OEE","In-Ear Headphones that Feel Like a Live Performance","When my old earbuds stopped working in the middle of the night I needed to find a quick replacement. I rushed to the pharmacy and picked up a pair of Craig in-earbuds for $13. Not a premium choice, but how bad could they be? Little did I know; they were so bad I started thinking something might be wrong with my computer's audio system. So I visited ""Ryan's"" blog on the Midination website for his incredibly helpful and well-researched list of ""The 24 best earbuds under $50"". His entry on the betron DC950Hi caught my eye. These in-ear headphones were only $5 dollars more than the ones I bought at the pharmacy, but what a difference in quality these earbuds made! They provide a full range of sound and seem sturdy and well-built. Their noise-isolation is excellent, giving you a rich musical experience without distortion or distracting outside noises. I've tested these earbuds with classic rock, symphonic music, jazz, Hip Hop, and movies -- they deliver amazing sound. I have had $100 earbuds that can't compete with the betron DC950Hi. Plus, betron pays attention to the details: the gold-plated plug, the comfortable earbud gels, the flat tangle-free cable, and the convenient carrying pouch reflect the value consumers will find in this brand. I've decided to purchase two back-up pairs because I never want to have to rush to the pharmacy in the middle of the night and settle for in-ear earbuds that make it so that it's not even worth listening to the music at all. The DC950Hi puts me right there, in the music.","25 Feb 2019","Color: Black","","Yes","C. Matthew Hawkins","5.0","Betron DC950HI Earphone with Mic and Remote Control, Powerful Bass, Noise Isolating, Replaceable Earbuds, Portable Headphones, Compatible with iPhone, iPad, MP3 Players, Android Devices, Black","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Microphone/product-reviews/B00N771OEE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"

"B00N771OEE","Great Buy if You Want Great Sound Quality, Deep Bass, and Volume/Play/Pause Controls that Work with Android Devices","I was pleasantly surprised by the high quality of these headphones. The three-button phone control (Pause/Play and Up/Down Volume Control) works great with my Samsung Galaxy S7, and the microphone sound is clear. The headphones seem very well-built and have a surprisingly deep bass sound. I really like the high-quality, durable flat cable and the angled headphone jack. Extremely good headphones for the price! I definitely recommend these headphones for anyone who is looking for great headphone with great bass and volume & pause/play controls that will work with android devices.","19 Apr 2018","Color: Black","","Yes","David","5.0","Betron DC950HI Earphone with Mic and Remote Control, Powerful Bass, Noise Isolating, Replaceable Earbuds, Portable Headphones, Compatible with iPhone, iPad, MP3 Players, Android Devices, Black","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Microphone/product-reviews/B00N771OEE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"

"B00N771OEE","I wish I could give 6 stars!","If I could give these earphones 6 stars, I would.  These earphones have completely exceeded my expectations, and I would highly recommend them.  First, they have fantastic sound quality.  The audio hrz spanned by these earphones are fantastic.  Secondly, because the sound quality is so good and clear, I find that I can cut the volume in half of what I normally used to listen to on previous other earphones.  This is great, as I don't want to damage my ear by needing to turn up the volume to have a pleasurable listening experience.  I use these when I work out, in a noisy room.  I don't hear the sounds of the gym, and I don't have to turn up the volume of the earphones to 'drown' out other noise.  All the while, I get the great quality of the audio being played.  Third, I was perhaps a little concerned that the ""bass driven"" description would mean that there is too much bass in the audio mix.  That is definitely not the case.  The mix of bass, mids and treble are great.  I'm really pleased with it.  Indeed, these earphones CAPTURE the low tones, but they certainly do not overwhelm or throw the mix out of balance.  The best way to describe the sound quality, other than ""really good"", is to say it is very ""full-bodied.""  Again, I'm super pleased with this about the earphones.  Fourth, the ""tangle free"" feature of the cord is legitimate.  I haven't had one tangling issue yet, and I've used them a lot already.  It sucks fighting the cords; that isn't an issue with these earphones. In sum, I would absolutely recommend these earphones.  Too boot, the price is a steal.  I've never been more pleased spending $10 on a pair of earphones.  Betron got it right with these!","23 Jul 2018","Color: Black","","Yes","Publius","5.0","Betron DC950HI Earphone with Mic and Remote Control, Powerful Bass, Noise Isolating, Replaceable Earbuds, Portable Headphones, Compatible with iPhone, iPad, MP3 Players, Android Devices, Black","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Microphone/product-reviews/B00N771OEE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"

"B00N771OEE","great head phones","fast shipping, great head phones. You guys should remove some material at the edge of the connector material so it can be easily used on iphone with a protective case.","19 Nov 2017","Color: Black","","Yes","Johan Schimmel","5.0","Betron DC950HI Earphone with Mic and Remote Control, Powerful Bass, Noise Isolating, Replaceable Earbuds, Portable Headphones, Compatible with iPhone, iPad, MP3 Players, Android Devices, Black","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Microphone/product-reviews/B00N771OEE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
